huggingface_ID,Type,parameters (B),open_llm_average,IFEval,BBH,MATH,GPQA,MUSR,MMLU-Pro,dataset,seed,final_layer_matrix_rank,final_layer_DSE,final_layer_VNE,matrix_rank_arr,DSE_arr,VNE_arr
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,pubmed,2,648,5.183770656585693,6.200887680053711,[369 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648],"[5.618002  5.2843666 5.758705  5.9041286 5.9447923 5.966256  5.8871155
 5.7671895 5.7250094 5.649475  5.6214805 5.6827726 5.5774198 5.5204077
 5.464959  5.310171  5.1837707]","[7.1850543 6.5019665 7.258361  7.4708753 7.523227  7.531113  7.4098015
 7.2129602 7.1473985 7.023399  6.98668   7.089078  6.8980155 6.796755
 6.71157   6.451445  6.2008877]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,imdb,2,685,5.445484638214111,6.584323406219482,[361 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685],"[5.5043645 5.2773366 5.9121785 6.0793786 6.1643677 6.171908  6.0929766
 5.9889946 5.976954  5.9323587 5.9422054 5.973652  5.9308634 5.878696
 5.7971344 5.6238446 5.4454846]","[6.9965687 6.4863377 7.4859543 7.7363777 7.8624544 7.8669853 7.7369733
 7.5630665 7.5436134 7.4689093 7.496381  7.5478225 7.4701686 7.382711
 7.253928  6.954004  6.5843234]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,squad,2,632,4.913186550140381,5.895304203033447,[102 475 504 382 462 525 598 621 632 632 632 632 632 632 632 632 632],"[4.6623154 4.411148  4.783044  4.8228936 4.9346747 4.9706497 4.937515
 4.903505  4.862753  4.953712  5.0183105 4.894152  4.834091  5.0277286
 4.932919  4.7378397 4.9131866]","[5.8636794 5.4050827 5.9863    5.991331  6.1091413 6.096528  5.9998097
 5.9167643 5.836814  5.913247  6.00522   5.823346  5.729315  6.0816135
 5.9566865 5.673855  5.895304 ]"
allenai/OLMo-1B-hf,pretrained,1.0,6.63,21.82,3.2,1.74,1.57,9.56,1.93,wikipedia,0,686,3.8684539794921875,4.332403182983398,[299 686 686 686 686 686 686 686 686 686 686 686 686 686 686 686 686],"[5.315835  5.293586  5.957208  5.860476  5.888515  5.903882  5.780975
 5.74575   5.7465715 5.743379  5.738682  5.77117   5.8432755 5.8595552
 5.70583   5.587744  3.868454 ]","[6.758981  6.5850835 7.6085424 7.4285064 7.4454317 7.452312  7.2602787
 7.1996136 7.1888094 7.1773915 7.1818542 7.214493  7.3224688 7.3379736
 7.0606213 6.8754816 4.332403 ]"
allenai/OLMo-1B-hf,pretrained,1.0,6.63,21.82,3.2,1.74,1.57,9.56,1.93,pubmed,0,571,3.8234150409698486,4.319756031036377,[312 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571],"[5.466925  5.3781376 5.9064765 5.8683834 5.9301324 5.9245644 5.785344
 5.7272186 5.731916  5.730844  5.75877   5.7713227 5.7520876 5.7607617
 5.6394916 5.55473   3.823415 ]","[6.9448543 6.71437   7.553367  7.474681  7.544657  7.522516  7.2979436
 7.1987934 7.194186  7.185804  7.2265377 7.237418  7.20252   7.2083693
 6.973842  6.8379583 4.319756 ]"
allenai/OLMo-1B-hf,pretrained,1.0,6.63,21.82,3.2,1.74,1.57,9.56,1.93,imdb,0,560,3.6591250896453857,4.150475978851318,[298 560 560 560 560 560 560 560 560 560 560 560 560 560 560 560 560],"[5.404046  5.36603   5.903283  5.8813543 5.9166436 5.915765  5.766391
 5.7625566 5.750592  5.731414  5.791774  5.812278  5.8353596 5.826356
 5.6887546 5.5805883 3.659125 ]","[6.890094  6.750654  7.6085076 7.551967  7.5790677 7.558776  7.318876
 7.3013134 7.274084  7.2275953 7.3273535 7.3543377 7.3924756 7.369759
 7.1253376 6.956397  4.150476 ]"
allenai/OLMo-1B-hf,pretrained,1.0,6.63,21.82,3.2,1.74,1.57,9.56,1.93,squad,0,813,4.326625823974609,4.862903118133545,[170 557 561 668 797 813 813 813 813 813 813 813 813 813 813 813 813],"[5.0847683 4.9751935 5.4800367 5.4815907 5.4192896 5.462014  5.105175
 5.168941  5.232669  5.2749877 5.3422794 5.2154994 5.296368  5.435074
 5.38856   5.2135158 4.326626 ]","[6.4261847 6.1909485 7.005167  6.872991  6.651621  6.621234  6.0711756
 6.1803565 6.274156  6.3346505 6.435378  6.1987867 6.2866626 6.456835
 6.4426475 6.212338  4.862903 ]"
allenai/OLMo-1B-hf,pretrained,1.0,6.63,21.82,3.2,1.74,1.57,9.56,1.93,wikipedia,1,642,3.318570613861084,3.6448371410369873,[300 642 642 642 642 642 642 642 642 642 642 642 642 642 642 642 642],"[5.3480186 5.3419285 5.95282   5.9285674 5.957216  5.9613256 5.8106713
 5.753564  5.772803  5.76299   5.811174  5.8688765 5.891827  5.8580194
 5.641511  5.431333  3.3185706]","[6.8194523 6.6866345 7.6098166 7.5653076 7.574336  7.559925  7.320872
 7.219552  7.240207  7.2137704 7.2890654 7.364627  7.4028635 7.350217
 6.968203  6.641401  3.6448371]"
allenai/OLMo-1B-hf,pretrained,1.0,6.63,21.82,3.2,1.74,1.57,9.56,1.93,pubmed,1,666,4.2132720947265625,4.787169933319092,[372 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666],"[5.617022  5.536479  6.071682  6.0047407 6.063144  6.035146  5.936436
 5.8798285 5.8937654 5.8941374 5.9237423 5.917124  5.913432  5.9245067
 5.8142195 5.7331057 4.213272 ]","[7.1592674 6.931512  7.7870226 7.6577396 7.725792  7.6685467 7.510919
 7.410926  7.418865  7.4136615 7.4599514 7.441372  7.4279203 7.43761
 7.2236514 7.0932345 4.78717  ]"
allenai/OLMo-1B-hf,pretrained,1.0,6.63,21.82,3.2,1.74,1.57,9.56,1.93,imdb,1,573,3.674180507659912,4.151363372802734,[313 573 573 573 573 573 573 573 573 573 573 573 573 573 573 573 573],"[5.4209485 5.403201  6.001366  5.9691067 6.0188217 6.0027523 5.886012
 5.872093  5.8821287 5.859891  5.916662  5.9330897 5.942003  5.933173
 5.7910624 5.6721487 3.6741805]","[6.858971  6.7330675 7.7147937 7.647471  7.704771  7.667801  7.477144
 7.4438057 7.450945  7.397162  7.489749  7.5056777 7.5222435 7.504472
 7.2456236 7.0584855 4.1513634]"
